"id","code","name","icon"
"19","3119","Food Processing","food"
"20","0","Bottled Water","cup-water"
"21","0","Restaurant Group","silverware"
"22","0","Fast Food Restaurant","food"
"24","0","Pizza Restaurant","pizza"
"25","0","Italian Food","pasta"
"26","0","Beverages","cup"
"27","0","Snack Food","food-croissant"
"28","0","Packaged Meals","package"
"29","0","Breakfast Food","bread-slice"
"30","0","Dairy","cow"
"31","0","Dips and Spreads","bowl-mix"
"32","0","Consumer Goods","shopping"
"33","0","Physical Games","cards"
"34","0","Technology","laptop"
"35","0","Bookstore","bookshelf"
"36","0","Social Catalog","tag-multiple"
"37","0","Supermarket","cart"
"38","0","Fabric Store","store"
"39","0","Children's Apparel","human-child"
"40","0","Clothing Brand","tshirt-crew"
"41","0","Film Database","database-search"
"42","0","Live Streaming","video-wireless"
"43","0","Shoe Store","shoe-formal"
"44","0","Clothing Retailer","tshirt-crew"
"45","0","Online Retailer","basket-fill"
"46","0","Digital Distribution","video-wireless"
"47","0","Book Publishing","book-multiple"
"48","0","Comparison Shopping","cart"
"49","0","Web Traffic Analysis","vector-polyline"
"50","0","Video Game Studio","gamepad-variant"
"51","0","Robotics","robot"
"52","0","Microelectronics","lightning-bolt"
"53","0","Home Security","webcam"
"54","0","Digital Photography","camera-wireless"
"55","0","Pharmacy","pharmacy"
"56","0","Cloud Computing","cloud"
"57","0","Video Software","video"
"58","0","Health Services","doctor"
"59","0","Autonomous Vehicles","car-connected"
"60","0","Casual Dining Restaurant","silverware-fork-knife"
"61","0","Restaurant","silverware"
"62","0","Steakhouse","food-steak"
"63","0","Sandwich Restaurant","hamburger"
"64","0","Private Equity Firm","account-cash"
"65","0","Automotive Service","car-cog"
"66","0","Education","school"
"67","0","Ice Cream","ice-cream"
"68","0","Toiletries","toothbrush"
"69","0","Seasonings/Condiments","shaker"
"70","0","Vegan/Vegetarian Foods","carrot"
"71","0","Dessert Foods","cupcake"
"72","0","Sports Blog","basketball"
"73","0","Media Conglomerate","filmstrip-box-multiple"
"74","0","Entertainment","emoticon-excited"
"75","0","Film Studio","video"
"76","0","Brand Licensor","file-lock"
"77","0","TV Network","television"
"78","0","Non-profit","currency-usd-off"
"79","0","Telecommunications","phone"
"80","0","Video Streaming","video-wireless"
"81","0","Music Publishing","music-box-multiple"
"82","0","Record Label","music-box"
"83","0","Animation Studio","animation"
"84","0","Internet","router-wireless"
"85","0","Entrepreneur","baby"
"86","0","Newspaper","newspaper-variant"
"87","0","Mass Media","filmstrip"
"88","0","Food Media","food"
"89","0","Magazine","book"
"90","0","Technology News","newspaper-variant"
"91","0","Music Website","album"
"92",NULL,"Baby Food","baby-bottle"
"93",NULL,"Pet Supplies","dog"
"94",NULL,"Frozen Food","fridge"
"96",NULL,"Baking","food-croissant"
"98",NULL,"Tex-Mex Food","taco"
"99",NULL,"Canned Foods","food"
"100",NULL,"Organic Foods","food-apple"
"101",NULL,"Chinese Food","noodles"
"103",NULL,"Meat","food-steak"
"104",NULL,"Box Office","ticket"
"105","0","Review Aggregator","plus-box-multiple"
"106",NULL,"Video Game Journalism","gamepad-variant"
"107",NULL,"Video Game Website","gamepad-variant"
"108",NULL,"Comic Studio","pen"
"109",NULL,"Digital Media","video-image"
"110",NULL,"Social Media","account-plus"
"111",NULL,"Aerospace","airplane"
"112",NULL,"Electronic Vehicles","ev-station"
"113",NULL,"Construction","hard-hat"
"114",NULL,"Neurotechnology","brain"
"115",NULL,"Solar Energy","weather-sunny"
"116",NULL,"Candy","candycane"
"118",NULL,"Cleaning","hand-water"
"119",NULL,"Condoms","reproduction"
"120","0","Food","food"
"121",NULL,"Journalism","pen"
"122",NULL,"Video Games","gamepad-variant"
"123",NULL,"Holding Company","trash-can"
"124",NULL,"Clothing","tshirt-crew"
"125",NULL,"Retail","store"
"126",NULL,"Automotive","car"
"127",NULL,"Books","book-open-page-variant"
"128",NULL,"Media","film"
"129",NULL,"Music","music"
"130",NULL,"Publishing","publish"
"131",NULL,"Sports","basketball"
"132",NULL,"Studio","office-building"
"133",NULL,"Health","stethoscope"
"134",NULL,"Conglomerate","trash-can"
"135",NULL,"Advertising","cash-multiple"
"136",NULL,"Health Technology","medical-bag"
"137",NULL,"Smart Phones","cellphone"
"138",NULL,"Data Science","molecule"
"139",NULL,"Software","monitor"
"140",NULL,"Web Software","web"
"141",NULL,"Artificial Intelligence","brain"
"142",NULL,"Research & Development","microscope"
"143",NULL,"Gesture Recognition","hand"
"144",NULL,"Navigation Software","crosshairs-gps"
"145",NULL,"Cybersecurity","shield-link-variant"
"146",NULL,"Travel Software","airplane"
"147",NULL,"Blogging Platform","book"
"148",NULL,"Productivity Software","calendar"
"149",NULL,"Development Software","keyboard"
"150",NULL,"Confectionary","cookie"
"151",NULL,"Chocolate","cookie"
"152",NULL,"Cookies","cookie"
"153",NULL,"Ridesharing","car-connected"
"154",NULL,"Food Delivery","basket"
"155",NULL,"Vehicle for Hire","car-key"
"156",NULL,"eSports Team","gamepad-variant"
"157",NULL,"Delivery Service","car-side"
"158",NULL,"Audio Equipment","headphones"
"159",NULL,"Home Automation","webcam"
"160",NULL,"Search Engine","magnify"
"161",NULL,"Messaging Software","chat"
"162",NULL,"Virtual Reality","virtual-reality"
"163",NULL,"Meal Kit","package"
"164",NULL,"Firearms","pistol"
"165",NULL,"Bank","bank"
"166",NULL,"Military Contractor","knife-military"
"167",NULL,"Computer Hardware","monitor"
"168",NULL,"Weather Forecasting","cloud"
"169",NULL,"TV Studio","television"
"170",NULL,"Anime","eye-outline"
"176",NULL,"Money Transfers","cash-multiple"
"177",NULL,"Finance","cash-multiple"
"178",NULL,"Manufacturing","hard-hat"
"179",NULL,"Jewelry Retailer","necklace"
"180",NULL,"Auto Insurance","car-side"
"181",NULL,"Insurance","cash"
"182",NULL,"Trains","train"
"183",NULL,"Boats","ferry"
"184",NULL,"Sports Equipment","hiking"
"185",NULL,"Underwear","lingerie"
"186",NULL,"Energy","lightning-bolt"
"187",NULL,"Chemicals","test-tube"
"188",NULL,"Supply Chain","link-variant"
"189",NULL,"Multi-Level Marketing","knife"
"190",NULL,"Luxury Goods","gold"
"191",NULL,"Fashion","shoe-heel"
"192",NULL,"Cosmetics","lipstick"
"194",NULL,"Alcohol","glass-cocktail"
"195",NULL,"Jewelry Brand","necklace"
"196",NULL,"Watchmaking","watch"
"197",NULL,"Bicycles","bicycle"
"198",NULL,"Transportation","run"
"199",NULL,"Radio Station","radio"
"200",NULL,"Hospitality","bed"
"201",NULL,"Fragrances","spray"
"202",NULL,"Hair Care","hair-dryer"
"203",NULL,"Food Service","factory"
"204",NULL,"Marketing","head-lightbulb"
"205",NULL,"Water Treatment","water"
"206",NULL,"Medical Equipment","stethoscope"
"207",NULL,"Cables, Tubes, Wires","cable-data"
"208",NULL,"Investment Firm","account-cash"
"209",NULL,"Restaurant Franchisee","silverware"
"210",NULL,"Coffeehouse","coffee"
"211",NULL,"TV Franchise","television"
"212",NULL,"Tea","tea"
"213",NULL,"Coffee","coffee"
"214",NULL,"Cheese","cheese"
"215",NULL,"Butter","bread-slice"
"216",NULL,"Milk","beer"
"217",NULL,"Juice","beer"
"218",NULL,"Energy Drinks","lightning-bolt"
"219",NULL,"Soda","spoon-sugar"
"220",NULL,"Root Beer","glass-mug"
"221",NULL,"Sports Drink","lightning-bolt"
"222",NULL,"Halal Meat","islam"
"223",NULL,"Honey","bee"
"224",NULL,"Food... for Men!","gender-male"
"225",NULL,"Products... for men!","gender-male"
"226",NULL,"Beans/Chili","pot-steam"
"227",NULL,"Popcorn","popcorn"
"228",NULL,"Water","water"
"229",NULL,"Containers","cube-outline"
"230",NULL,"Kitchenware","scale"
"231",NULL,"Gift Delivery","gift"
"232",NULL,"Wine","glass-wine"
"233",NULL,"Sausage","sausage"
"234",NULL,"Poultry","food-drumstick"
"235",NULL,"Laundry","hanger"
"236",NULL,"Baked Goods","baguette"
"237",NULL,"Mexican Food","taco"
"238",NULL,"Nut Butter","peanut"
"239",NULL,"Chips","food"
"240",NULL,"Crackers","food"
"241",NULL,"Fruit Snacks","fruit-cherries"
"242",NULL,"Medicine","pill"
"243",NULL,"Yogurt","cup"
"244",NULL,"Skincare","hand-water"
"245",NULL,"Makeup","lipstick"
"246",NULL,"BBQ Sauce","grill"
"247",NULL,"Hot Sauce","chili-mild"
"248",NULL,"Salad Dressing","leaf"
"249",NULL,"Pizza","pizza"
"250",NULL,"Herbs & Spices","shaker"
"251",NULL,"Animals","dog-side"
"252",NULL,"Animal Health","stethoscope"
"253",NULL,"3D Printing","printer"
"254",NULL,"Children","human-child"
"255",NULL,"Toys","toy-brick"
"256",NULL,"Card Games","cards"
"257",NULL,"Financial Technology","cash-multiple"
"258",NULL,"Country","earth"
"259",NULL,"eSports","gamepad-variant"
"260",NULL,"Rice","rice"
"261",NULL,"Biotechnology","bacteria"
"262",NULL,"Glasses","glasses"
"263",NULL,"Photography","camera"
"264",NULL,"Eyewear Retailer","glasses"
"265",NULL,"Tools","wrench"
"266",NULL,"Smoking","cigar"
"267",NULL,"Drugs","pill"