"id","name","icon","color","showOnTop"
"4","Environmental","sprout","#72DA94","0"
"5","Consumer Rights","account-multiple","#648CC1","0"
"6","Health Concerns","medical-bag","#E9ADAD","0"
"7","Political Donations","cash-multiple","#8CCD79","0"
"8","Boycott","alert-octagon","#FF5F5F","0"
"9","Discrimination","account-cancel","#B9A79D","0"
"10","Harassment","human","#9D6C94","0"
"12","Worker's Rights","account-hard-hat","#B8DA80","0"
"13","Other","help-box","#DF71D5","0"
"14","Privacy","monitor-eye","#8B99FF","0"
"15","Anticompetitive","earth-off","#74CD76","0"
"16","Animal Rights","cow","#B15B83","0"
"17","Accessibility","wheelchair-accessibility","#E99AE8","0"
"18","Quotes","comment-quote","#71BDD7","0"
"19","War Crimes","skull","#AF3333","0"
"20","Uses Unsustainable Palm Oil","palm-tree","#B63131","1"
"21","Uses Prison Labor","handcuffs","#8698A2","1"
"22","Uses Animal Testing","rodent","#ECB274","1"
"23","Uses Child Labor","human-child","#75CBC0","1"